The list of highly confident candidate RNAs predicted by PredSynRNA using the developmental brain gene expression data from the BrainSpan.,,,,,
gene_symbol,ensembl_gene_id,description,predicted probability by SVM,predicted probability by RF,predicted probability by ANN
EBF2,ENSG00000221818,EBF transcription factor 2,0.529,0.525,0.618
TPMT,ENSG00000137364,thiopurine S-methyltransferase,0.594,0.524,0.554
BMP8B,ENSG00000116985,bone morphogenetic protein 8b,0.514,0.555,0.603
HBE1,ENSG00000213931,hemoglobin subunit epsilon 1,0.495,0.644,0.532
SOHLH2,ENSG00000120669,spermatogenesis and oogenesis specific basic helix-loop-helix 2,0.539,0.586,0.546
MRPL15,ENSG00000137547,mitochondrial ribosomal protein L15,0.574,0.577,0.52
IGSF21,ENSG00000117154,immunoglobin superfamily member 21,0.54,0.576,0.554
TBL1Y,ENSG00000092377,transducin beta like 1 Y-linked,0.516,0.527,0.627
RHBDD3,ENSG00000100263,rhomboid domain containing 3,0.6,0.525,0.545
ANXA9,ENSG00000143412,annexin A9,0.56,0.562,0.547
GLYATL2,ENSG00000156689,glycine-N-acyltransferase like 2,0.486,0.532,0.649
PACSIN3,ENSG00000165912,protein kinase C and casein kinase substrate in neurons 3,0.5,0.53,0.637
CD53,ENSG00000143119,CD53 molecule,0.585,0.501,0.581
PLAC8L1,ENSG00000173261,PLAC8 like 1,0.53,0.525,0.611
AGMAT,ENSG00000116771,agmatinase,0.511,0.511,0.644
SRRM3,ENSG00000177679,serine/arginine repetitive matrix 3,0.56,0.568,0.538
C19orf48,ENSG00000167747,multidrug resistance-related protein,0.519,0.539,0.607
HES7,ENSG00000179111,hes family bHLH transcription factor 7,0.594,0.52,0.549
PLCB3,ENSG00000149782,phospholipase C beta 3,0.516,0.51,0.635
ADAMTSL2,ENSG00000197859,ADAMTS like 2,0.575,0.561,0.524
SLFN11,ENSG00000172716,schlafen family member 11,0.488,0.501,0.67
ENPEP,ENSG00000138792,glutamyl aminopeptidase,0.487,0.555,0.617
GRB7,ENSG00000141738,growth factor receptor bound protein 7,0.572,0.534,0.552
NICN1,ENSG00000145029,nicolin 1,0.606,0.51,0.541
NEK7,ENSG00000151414,NIMA related kinase 7,0.555,0.596,0.505
C19orf47,ENSG00000160392,chromosome 19 open reading frame 47,0.549,0.538,0.569
EGLN3,ENSG00000129521,egl-9 family hypoxia inducible factor 3,0.518,0.551,0.587
YIF1B,ENSG00000167645,"Yip1 interacting factor homolog B, membrane trafficking protein",0.553,0.537,0.565
NUDCD3,ENSG00000015676,NudC domain containing 3,0.579,0.509,0.565
TMEM126A,ENSG00000171202,transmembrane protein 126A,0.494,0.597,0.56
SMTNL1,ENSG00000214872,smoothelin like 1,0.574,0.541,0.536
PTPRS,ENSG00000105426,protein tyrosine phosphatase receptor type S,0.574,0.559,0.518
RHOBTB2,ENSG00000008853,Rho related BTB domain containing 2,0.543,0.528,0.578
UBL3,ENSG00000122042,ubiquitin like 3,0.599,0.533,0.517
NTN1,ENSG00000065320,netrin 1,0.491,0.598,0.558
PARL,ENSG00000175193,presenilin associated rhomboid like,0.507,0.615,0.525
DCTD,ENSG00000129187,dCMP deaminase,0.596,0.532,0.518
TRAF1,ENSG00000056558,TNF receptor associated factor 1,0.489,0.53,0.627
MCRS1,ENSG00000187778,microspherule protein 1,0.56,0.52,0.566
OGDHL,ENSG00000197444,oxoglutarate dehydrogenase L,0.631,0.511,0.504
VWA2,ENSG00000165816,von Willebrand factor A domain containing 2,0.506,0.536,0.604
TK1,ENSG00000167900,thymidine kinase 1,0.542,0.588,0.515
ZNF622,ENSG00000173545,zinc finger protein 622,0.564,0.556,0.525
PHKG2,ENSG00000156873,phosphorylase kinase catalytic subunit gamma 2,0.551,0.561,0.532
PIK3AP1,ENSG00000155629,phosphoinositide-3-kinase adaptor protein 1,0.534,0.603,0.507
PDE6D,ENSG00000156973,phosphodiesterase 6D,0.527,0.546,0.569
HBZ,ENSG00000130656,hemoglobin subunit zeta,0.486,0.533,0.623
LAMC3,ENSG00000050555,laminin subunit gamma 3,0.569,0.542,0.531
ZNF442,ENSG00000198342,zinc finger protein 442,0.506,0.552,0.583
EHD4,ENSG00000103966,EH domain containing 4,0.577,0.528,0.534
TNK1,ENSG00000174292,tyrosine kinase non receptor 1,0.599,0.505,0.533
DDIT3,ENSG00000175197,DNA damage inducible transcript 3,0.492,0.528,0.617
CLIC5,ENSG00000112782,chloride intracellular channel 5,0.492,0.557,0.587
KLHDC9,ENSG00000162755,kelch domain containing 9,0.488,0.585,0.563
CORO1B,ENSG00000172725,coronin 1B,0.539,0.553,0.542
CHMP6,ENSG00000176108,charged multivesicular body protein 6,0.527,0.55,0.556
MRPL47,ENSG00000136522,mitochondrial ribosomal protein L47,0.541,0.528,0.564
VBP1,ENSG00000155959,VHL binding protein 1,0.599,0.521,0.512
GNG10,ENSG00000242616,G protein subunit gamma 10,0.532,0.577,0.522
PAH,ENSG00000171759,phenylalanine hydroxylase,0.5,0.5,0.629
SPATA17,ENSG00000162814,spermatogenesis associated 17,0.5,0.551,0.577
GPR78,ENSG00000155269,G protein-coupled receptor 78,0.5,0.516,0.612
GNG12,ENSG00000172380,G protein subunit gamma 12,0.599,0.522,0.507
TEX9,ENSG00000151575,testis expressed 9,0.49,0.521,0.615
KLKB1,ENSG00000164344,kallikrein B1,0.486,0.544,0.595
EIF5,ENSG00000100664,eukaryotic translation initiation factor 5,0.566,0.536,0.523
SH3BGRL2,ENSG00000198478,SH3 domain binding glutamate rich protein like 2,0.555,0.503,0.565
ZDHHC8,ENSG00000099904,zinc finger DHHC-type palmitoyltransferase 8,0.556,0.523,0.543
THAP4,ENSG00000176946,THAP domain containing 4,0.49,0.618,0.514
SCNN1G,ENSG00000166828,sodium channel epithelial 1 subunit gamma,0.556,0.519,0.546
S1PR3,ENSG00000213694,sphingosine-1-phosphate receptor 3,0.579,0.52,0.521
FNDC5,ENSG00000160097,fibronectin type III domain containing 5,0.581,0.531,0.507
USP44,ENSG00000136014,ubiquitin specific peptidase 44,0.526,0.579,0.514
ABHD11,ENSG00000106077,abhydrolase domain containing 11,0.5,0.522,0.594
PTBP1,ENSG00000011304,polypyrimidine tract binding protein 1,0.548,0.526,0.542
KRBOX1,ENSG00000240747,KRAB box domain containing 1,0.507,0.574,0.531
SFXN2,ENSG00000156398,sideroflexin 2,0.531,0.533,0.548
ADAMTS19,ENSG00000145808,ADAM metallopeptidase with thrombospondin type 1 motif 19,0.5,0.565,0.543
RANBP3L,ENSG00000164188,RAN binding protein 3 like,0.525,0.542,0.54
ZNF730,ENSG00000183850,zinc finger protein 730,0.508,0.576,0.521
PF4,ENSG00000163737,platelet factor 4,0.5,0.508,0.597
GSTM4,ENSG00000168765,glutathione S-transferase mu 4,0.521,0.505,0.578
PRDX4,ENSG00000123131,peroxiredoxin 4,0.524,0.528,0.552
DCTN6,ENSG00000104671,dynactin subunit 6,0.55,0.522,0.531
NMU,ENSG00000109255,neuromedin U,0.533,0.56,0.51
UPP2,ENSG00000007001,uridine phosphorylase 2,0.569,0.51,0.524
TLR4,ENSG00000136869,toll like receptor 4,0.551,0.502,0.55
ARHGEF26,ENSG00000114790,Rho guanine nucleotide exchange factor 26,0.565,0.502,0.535
ONECUT2,ENSG00000119547,one cut homeobox 2,0.554,0.525,0.516
TRABD,ENSG00000170638,TraB domain containing,0.542,0.517,0.532
SHC1,ENSG00000160691,SHC adaptor protein 1,0.51,0.554,0.526
ANGPT1,ENSG00000154188,angiopoietin 1,0.5,0.505,0.585
RHPN1,ENSG00000158106,rhophilin Rho GTPase binding protein 1,0.539,0.533,0.516
CGREF1,ENSG00000138028,cell growth regulator with EF-hand domain 1,0.5,0.53,0.558
COL19A1,ENSG00000082293,collagen type XIX alpha 1 chain,0.5,0.569,0.516
CPZ,ENSG00000109625,carboxypeptidase Z,0.492,0.507,0.582
TGOLN2,ENSG00000152291,trans-golgi network protein 2,0.525,0.51,0.541
GPR50,ENSG00000102195,G protein-coupled receptor 50,0.508,0.506,0.561
APOO,ENSG00000184831,apolipoprotein O,0.546,0.514,0.514
SLC27A4,ENSG00000167114,solute carrier family 27 member 4,0.515,0.553,0.505
DCAKD,ENSG00000172992,dephospho-CoA kinase domain containing,0.541,0.526,0.505
IARS2,ENSG00000067704,"isoleucyl-tRNA synthetase 2, mitochondrial",0.534,0.52,0.516
ABTB2,ENSG00000166016,ankyrin repeat and BTB domain containing 2,0.517,0.536,0.512
EMCN,ENSG00000164035,endomucin,0.524,0.52,0.519
HIC1,ENSG00000177374,HIC ZBTB transcriptional repressor 1,0.5,0.534,0.52
BAK1,ENSG00000030110,BCL2 antagonist/killer 1,0.515,0.53,0.501
ASPN,ENSG00000106819,asporin,0.516,0.5,0.526
ABI3BP,ENSG00000154175,ABI family member 3 binding protein,0.489,0.538,0.513
NUDCD2,ENSG00000170584,NudC domain containing 2,0.487,0.536,0.506
MRPS36,ENSG00000134056,mitochondrial ribosomal protein S36,0.488,0.5,0.507
